Year Month Day T95(degC)

1982  6  1 4.641532
1982  6  2 2.845868
1982  6  3 2.653891
1982  6  4 2.773712
1982  6  5 2.688911
1982  6  6 3.683693
1982  6  7 3.986720
1982  6  8 4.502019
1982  6  9 4.738728
1982  6 10 4.633832
1982  6 11 4.133120
1982  6 12 2.424196
1982  6 13 1.934378
1982  6 14 2.457306
1982  6 15 2.525336
1982  6 16 2.646375
1982  6 17 2.042951
1982  6 18 0.844897
1982  6 19 1.498084
1982  6 20 1.398011
1982  6 21 1.200941
1982  6 22 0.811202
1982  6 23 2.877777
1982  6 24 2.545350
1982  6 25 1.861540
1982  6 26 1.860588
1982  6 27 2.367408
1982  6 28 3.727267
1982  6 29 3.812641
1982  6 30 2.600777
1982  7  1 1.538546
1982  7  2 2.216485
1982  7  3 4.970652
1982  7  4 7.108801
1982  7  5 7.315978
1982  7  6 5.953921
1982  7  7 4.636740
1982  7  8 4.866660
1982  7  9 3.671282
1982  7 10 3.148954
1982  7 11 3.056981
1982  7 12 2.816088
1982  7 13 3.130464
1982  7 14 3.192443
1982  7 15 3.843713
1982  7 16 5.565886
1982  7 17 5.775886
1982  7 18 5.835759
1982  7 19 5.521818
1982  7 20 5.648629
1982  7 21 5.138384
1982  7 22 3.918331
1982  7 23 3.893188
1982  7 24 4.343664
1982  7 25 4.668167
1982  7 26 4.120562
1982  7 27 3.234900
1982  7 28 2.612181
1982  7 29 1.851598
1982  7 30 1.103105
1982  7 31 3.328770
1982  8  1 5.124213
1982  8  2 6.561472
1982  8  3 6.507071
1982  8  4 6.136746
1982  8  5 5.188598
1982  8  6 4.525665
1982  8  7 3.699540
1982  8  8 2.943003
1982  8  9 1.600670
1982  8 10 1.174964
1982  8 11 0.691722
1982  8 12 0.499971
1982  8 13 2.272262
1982  8 14 2.577897
1982  8 15 3.369413
1982  8 16 4.207436
1982  8 17 4.794323
1982  8 18 5.055850
1982  8 19 6.013356
1982  8 20 4.086498
1982  8 21 3.512518
1982  8 22 4.099713
1982  8 23 2.753459
1982  8 24 2.952776
1982  8 25 3.371812
1982  8 26 3.827546
1982  8 27 3.667896
1982  8 28 3.002627
1982  8 29 3.365904
1982  8 30 3.684233
1982  8 31 4.165118
1982  9  1 4.575803
1982  9  2 3.957013
1982  9  3 3.438583
1982  9  4 4.981987
1982  9  5 5.168566
1982  9  6 2.498202
1982  9  7 2.665662
1982  9  8 4.686618
1982  9  9 6.847962
1982  9 10 9.146438
1982  9 11 8.652381
1982  9 12 7.410033
1982  9 13 7.838199
1982  9 14 7.127972
1982  9 15 5.551141
1982  9 16 4.608851
1982  9 17 4.087263
1982  9 18 4.089376
1982  9 19 3.578969
1982  9 20 1.850391
1982  9 21 0.655673
1982  9 22 3.369645
1982  9 23 4.469065
1982  9 24 2.033506
1982  9 25 1.944433
1982  9 26 3.487913
1982  9 27 4.183069
1982  9 28 5.516496
1982  9 29 6.237265
1982  9 30 7.286895
1982 10  1 7.603981
1982 10  2 6.788921
1982 10  3 6.183463
1982 10  4 6.131227
1982 10  5 8.029501
1982 10  6 9.223103
1982 10  7 8.759837
1982 10  8 6.062796
1982 10  9 6.409793
1982 10 10 5.950419
1982 10 11 5.190956
1982 10 12 2.564561
1982 10 13 1.304893
1982 10 14 5.459761
1982 10 15 5.618669
1982 10 16 3.981768
1982 10 17 7.749034
1982 10 18 7.891854
1982 10 19 6.023866
1982 10 20 5.783976
1982 10 21 5.174463
1982 10 22 3.998521
1982 10 23 5.643417
1982 10 24 8.542050
1982 10 25 10.032366
1982 10 26 9.244975
1982 10 27 8.677588
1982 10 28 7.723869
1982 10 29 8.165136
1982 10 30 8.069626
1982 10 31 9.141889
1982 11  1 10.038359
1982 11  2 11.353478
1982 11  3 11.996588
1982 11  4 9.732541
1982 11  5 8.349508
1982 11  6 6.615915
1982 11  7 6.891441
1982 11  8 6.666085
1982 11  9 7.660400
1982 11 10 8.233263
1982 11 11 8.495721
1982 11 12 8.573001
1982 11 13 8.888145
1982 11 14 -1.202638
1982 11 15 -0.834876
1982 11 16 1.899319
1982 11 17 3.982910
1982 11 18 5.928500
1982 11 19 9.002643
1982 11 20 11.202099
1982 11 21 10.335709
1982 11 22 7.261845
1982 11 23 7.890658
1982 11 24 8.012373
1982 11 25 4.993313
1982 11 26 4.073360
1982 11 27 4.891538
1982 11 28 5.341802
1982 11 29 7.429872
1982 11 30 10.022697
1982 12  1 11.960707
1982 12  2 14.945910
1982 12  3 16.107035
1982 12  4 15.150441
1982 12  5 14.204170
1982 12  6 13.887581
1982 12  7 9.676191
1982 12  8 5.756386
1982 12  9 5.371415
1982 12 10 2.751756
1982 12 11 1.020456
1982 12 12 3.510497
1982 12 13 5.263116
1982 12 14 4.072910
1982 12 15 5.172080
1982 12 16 8.327253
1982 12 17 11.135454
1982 12 18 10.880210
1982 12 19 8.083791
1982 12 20 7.330335
1982 12 21 9.361028
1982 12 22 12.710066
1982 12 23 13.578378
1982 12 24 14.164568
1982 12 25 15.910391
1982 12 26 16.193144
1982 12 27 13.480254
1982 12 28 15.830581
1982 12 29 15.067848
1982 12 30 6.675333
1982 12 31 4.964194
1983  1  1 5.431722
1983  1  2 5.186604
1983  1  3 3.981016
1983  1  4 7.829321
1983  1  5 7.882564
1983  1  6 9.443687
1983  1  7 8.533472
1983  1  8 7.710197
1983  1  9 9.515164
1983  1 10 8.901378
1983  1 11 11.248160
1983  1 12 13.219414
1983  1 13 13.064595
1983  1 14 11.708863
1983  1 15 8.154187
1983  1 16 3.683951
1983  1 17 2.877369
1983  1 18 0.353949
1983  1 19 1.287302
1983  1 20 3.835805
1983  1 21 6.015328
1983  1 22 7.415007
1983  1 23 7.139797
1983  1 24 6.426993
1983  1 25 5.413454
1983  1 26 3.876611
1983  1 27 1.800839
1983  1 28 7.317311
1983  1 29 8.075924
1983  1 30 7.060894
1983  1 31 6.022414
1983  2  1 6.660190
1983  2  2 9.218979
1983  2  3 10.678237
1983  2  4 7.941567
1983  2  5 0.627738
1983  2  6 -0.452111
1983  2  7 1.551933
1983  2  8 1.727920
1983  2  9 2.204929
1983  2 10 3.728422
1983  2 11 4.343777
1983  2 12 5.913133
1983  2 13 11.776178
1983  2 14 11.346388
1983  2 15 9.000682
1983  2 16 8.897356
1983  2 17 8.006021
1983  2 18 10.017987
